Subject,Trial,Event Type,Code,Time,TTime,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur,Stim Type,Pair Index
1,1,Picture,Trainungsbeginn,334,0,1,46472,2,0,next,other,0
1,1,Response,1,46704,46370,1,,,,,,
1,2,Picture,Start_1.Training,46806,0,1,13206,2,0,next,other,0
1,2,Response,1,59903,13097,1,,,,,,
1,3,Picture,Buchstabe,62185,2173,1,7857,2,2000,next,other,0
1,4,Picture,Buchstabe,72215,2173,1,7856,3,2000,next,other,0
1,5,Picture,T1_Setgroesse_2_Sequenz_FY,80071,0,2,1171,3,0,next,other,0
1,5,Response,1,99294,19223,2,,,,,,
1,6,Picture,T1_1_BS_seq:_F,99463,0,1,167,2,0,next,other,0
1,6,Response,1,110847,11384,2,,,,,,
1,7,Picture,T1_1_BS_seq:_FY,111164,0,1,167,2,0,next,other,0
1,7,Response,1,121678,10514,1,,,,,,
1,8,Picture,FB_corr,126711,5000,1,10029,3,5000,next,other,0
1,9,Picture,Buchstabe,148944,2174,1,7856,2,2000,next,other,0
1,10,Picture,Buchstabe,158973,2173,2,7857,3,2000,next,other,0
1,11,Picture,T1_Setgroesse_2_Sequenz_FN,166830,0,1,1170,2,0,next,other,0
1,11,Response,1,185629,18799,2,,,,,,
1,12,Picture,T1_2_BS_seq:_F,185887,0,1,167,2,0,next,other,0
1,12,Response,1,193675,7788,2,,,,,,
1,13,Picture,T1_2_BS_seq:_FN,193911,0,1,167,2,0,next,other,0
1,13,Response,1,204196,10285,2,,,,,,
1,14,Picture,FB_corr,209290,5000,1,10030,2,5000,next,other,0
1,15,Picture,Buchstabe,231523,2173,1,7857,2,2000,next,other,0
1,16,Picture,Buchstabe,241553,2173,1,7857,2,2000,next,other,0
1,17,Picture,Buchstabe,251583,2173,1,7857,2,2000,next,other,0
1,18,Picture,T1_Setgroesse_3_Sequenz_FPY,259440,0,1,1170,2,0,next,other,0
1,18,Response,1,270402,10962,1,,,,,,
